CASE #,DATE  OF OCCURRENCE, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT
HX332780,7/5/2014,OTHER OFFENSE,PROBATION VIOLATION,PARKING LOT/GARAGE(NON.RESID.),Y,N,1113
HX332854,7/5/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,N,1533
HX332743,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1021
HX332735,7/5/2014,THEFT,$500 AND UNDER,RESTAURANT,N,N,1014
HX332740,7/5/2014,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,Y,N,513
HX335512,7/5/2014,BATTERY,SIMPLE,OTHER,N,N,1634
HX334240,7/5/2014,THEFT,FROM BUILDING,OTHER,N,N,1912
HX333608,7/5/2014,ASSAULT,SIMPLE,STREET,N,Y,2511
HX332795,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,922
HX332838,7/5/2014,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,N,N,1631
HX332748,7/5/2014,BATTERY,SIMPLE,SIDEWALK,N,N,631
HX332778,7/5/2014,ASSAULT,SIMPLE,SIDEWALK,Y,Y,221
HX332745,7/5/2014,BATTERY,SIMPLE,STREET,Y,N,1834
HX332787,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1112
HX332777,7/5/2014,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,STREET,Y,N,213
HX332779,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,922
HX332753,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT/GARAGE(NON.RESID.),N,N,2011
HX332771,7/5/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,Y,N,1131
HX332782,7/5/2014,ASSAULT,SIMPLE,SIDEWALK,Y,N,1033
HX332943,7/5/2014,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE PORCH/HALLWAY,Y,N,2431
HX332823,7/5/2014,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,STREET,Y,N,621
HX332768,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1115
HX332784,7/5/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1121
HX332776,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2233
HX332752,7/5/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,333
HX333519,7/5/2014,THEFT,OVER $500,RESIDENCE-GARAGE,N,N,1434
HX332868,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1532
HX333538,7/5/2014,THEFT,$500 AND UNDER,ALLEY,N,N,1924
HX332839,7/5/2014,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,N,N,613
HX333239,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,824
HX333233,7/5/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1513
HX333084,7/5/2014,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,N,N,2232
HX332861,7/5/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,831
HX332816,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2522
HX333680,7/5/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,712
HX333741,7/5/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1121
HX334941,7/5/2014,ROBBERY,ARMED: HANDGUN,STREET,N,N,715
HX332831,7/5/2014,NARCOTICS,POSS: CRACK,SIDEWALK,Y,N,1532
HX332799,7/5/2014,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1121
HX332730,7/5/2014,HOMICIDE,FIRST DEGREE MURDER,STREET,N,N,726
