CASE #,DATE  OF OCCURRENCE,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,DISTRICT
HX333958,6/7/14,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,ABANDONED BUILDING,FALSE,FALSE,2233,5
HX375369,7/7/14,BURGLARY,UNLAWFUL ENTRY,ABANDONED BUILDING,FALSE,FALSE,831,5
HX346100,7/7/14,BURGLARY,UNLAWFUL ENTRY,ABANDONED BUILDING,FALSE,FALSE,511,5
HX335954,8/7/14,CRIMINAL TRESPASS,TO RESIDENCE,ABANDONED BUILDING,TRUE,FALSE,624,6
HX336992,8/7/14,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ABANDONED BUILDING,FALSE,FALSE,522,6
HX339219,10/7/14,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ABANDONED BUILDING,TRUE,FALSE,524,7
HX340907,11/7/14,THEFT,$500 AND UNDER,ABANDONED BUILDING,FALSE,FALSE,1114,8
HX340352,11/7/14,NARCOTICS,POSS: HEROIN(WHITE),ABANDONED BUILDING,TRUE,FALSE,1135,8
HX340389,11/7/14,THEFT,$500 AND UNDER,ABANDONED BUILDING,TRUE,FALSE,733,9
HX342624,12/7/14,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,ABANDONED BUILDING,TRUE,FALSE,1134,11
HX343465,13/7/14,CRIMINAL TRESPASS,TO LAND,ABANDONED BUILDING,TRUE,FALSE,1114,11
HX344028,13/7/14,NARCOTICS,POSS: HEROIN(WHITE),ABANDONED BUILDING,TRUE,FALSE,634,11
HX355452,14/7/14,THEFT,FROM BUILDING,ABANDONED BUILDING,FALSE,FALSE,2411,11
HX345188,14/7/14,NARCOTICS,POSS: CRACK,ABANDONED BUILDING,TRUE,FALSE,1112,11
HX345501,14/7/14,NARCOTICS,FOUND SUSPECT NARCOTICS,ABANDONED BUILDING,TRUE,FALSE,2531,11
HX347026,16/7/14,CRIMINAL TRESPASS,TO LAND,ABANDONED BUILDING,TRUE,FALSE,914,22
HX347476,16/7/14,BURGLARY,FORCIBLE ENTRY,ABANDONED BUILDING,TRUE,FALSE,832,24
