"CASE #","DATE OF OCCURRENCE","PRIMARY DESCRIPTION","SECONDARY DESCRIPTION","LOCATION DESCRIPTION","ARREST","DOMESTIC","BEAT","X PLOT VALUE","Y PLOT VALUE","DISTRICT","RANGE INDEX","SCORE"
"HX333958","6/7/14","OTHER OFFENSE","ANIMAL ABUSE/NEGLECT","ABANDONED BUILDING","N","N","2233","526","148","5","6","1706"
"HX375369","7/7/14","BURGLARY","UNLAWFUL ENTRY","ABANDONED BUILDING","N","N","831","406","335","5","11","4226"
"HX346100","7/7/14","BURGLARY","UNLAWFUL ENTRY","ABANDONED BUILDING","N","N","511","584","197","5","11","4226"
"HX335954","8/7/14","CRIMINAL TRESPASS","TO RESIDENCE","ABANDONED BUILDING","Y","N","624","561","294","6","2","451"
"HX336992","8/7/14","WEAPONS VIOLATION","UNLAWFUL POSS OF HANDGUN","ABANDONED BUILDING","N","N","522","552","108","6","6","1706"
"HX339219","10/7/14","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","ABANDONED BUILDING","Y","N","524","509","94","7","2","451"
"HX340907","11/7/14","THEFT","$500 AND UNDER","ABANDONED BUILDING","N","N","1114","341","648","8","2","446"
"HX340352","11/7/14","NARCOTICS","POSS: HEROIN(WHITE)","ABANDONED BUILDING","Y","N","1135","410","613","8","20","22711"
"HX340389","11/7/14","THEFT","$500 AND UNDER","ABANDONED BUILDING","Y","N","733","530","322","9","2","451"
"HX342624","12/7/14","INTERFERENCE WITH PUBLIC OFFICER","OBSTRUCTING IDENTIFICATION","ABANDONED BUILDING","Y","N","1134","393","613","11","6","1711"
"HX343465","13/7/14","CRIMINAL TRESPASS","TO LAND","ABANDONED BUILDING","Y","N","1114","341","648","11","2","451"
"HX344028","13/7/14","NARCOTICS","POSS: HEROIN(WHITE)","ABANDONED BUILDING","Y","N","634","585","226","11","20","22711"
"HX355452","14/7/14","THEFT","FROM BUILDING","ABANDONED BUILDING","N","N","2411","406","992","11","8","2546"
"HX345188","14/7/14","NARCOTICS","POSS: CRACK","ABANDONED BUILDING","Y","N","1112","361","683","11","17","8011"
"HX345501","14/7/14","NARCOTICS","FOUND SUSPECT NARCOTICS","ABANDONED BUILDING","Y","N","2531","260","712","11","17","8011"
"HX347026","16/7/14","CRIMINAL TRESPASS","TO LAND","ABANDONED BUILDING","Y","N","914","530","548","22","2","451"
"HX347476","16/7/14","BURGLARY","FORCIBLE ENTRY","ABANDONED BUILDING","Y","N","832","439","337","24","11","4231"
"HX350156","18/7/14","NARCOTICS","POSS: HEROIN(WHITE)","ABANDONED BUILDING","Y","N","1112","361","683","25","20","22711"
"HX357107","18/7/14","THEFT","$500 AND UNDER","AIRCRAFT","N","N","1651","0","0","16","2","449"
"HX333088","6/7/14","ASSAULT","SIMPLE","AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA","N","N","1654","21","915","16","0","99"
"HX343539","12/7/14","THEFT","OVER $500","AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA","N","N","1651","0","0","16","16","7169"
"HX336789","8/7/14","THEFT","OVER $500","AIRPORT BUILDING NON-TERMINAL - SECURE AREA","N","N","813","327","368","8","16","7169"
"HX345704","15/7/14","CRIMINAL TRESPASS","TO STATE SUP LAND","AIRPORT EXTERIOR - NON-SECURE AREA","Y","N","1655","28","865","16","2","454"
"HX348060","16/7/14","CRIMINAL TRESPASS","TO STATE SUP LAND","AIRPORT EXTERIOR - NON-SECURE AREA","Y","N","1651","0","0","16","2","454"
"HX342539","12/7/14","BATTERY","DOMESTIC BATTERY SIMPLE","AIRPORT EXTERIOR - SECURE AREA","N","Y","1114","341","648","11","2","444"
"HX355274","16/7/14","THEFT","OVER $500","AIRPORT EXTERIOR - SECURE AREA","Y","N","1652","0","0","16","16","7174"
"HX342661","12/7/14","THEFT","OVER $500","AIRPORT PARKING LOT","Y","N","1654","21","915","16","16","7174"
"HX351813","18/7/14","CRIMINAL DAMAGE","TO VEHICLE","AIRPORT PARKING LOT","N","N","1654","21","915","16","9","2969"
"HX333259","6/7/14","THEFT","$500 AND UNDER","AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA","N","N","1651","0","0","8","2","449"
"HX334693","7/7/14","CRIMINAL TRESPASS","TO STATE SUP LAND","AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA","Y","N","1652","0","0","8","2","454"
"HX339366","7/7/14","THEFT","OVER $500","AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA","N","N","813","327","368","16","16","7169"
"HX337880","9/7/14","CRIMINAL TRESPASS","TO STATE SUP LAND","AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA","Y","N","1653","0","0","16","2","454"
"HX338209","9/7/14","THEFT","FROM BUILDING","AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA","N","N","1652","0","0","16","8","2549"
"HX341098","11/7/14","BATTERY","AGG PO HANDS NO/MIN INJURY","AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA","Y","N","813","327","368","16","9","2974"
"HX340994","11/7/14","CRIMINAL TRESPASS","TO STATE SUP LAND","AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA","Y","N","1655","28","865","16","2","454"
"HX343304","13/7/14","CRIMINAL TRESPASS","TO STATE SUP LAND","AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA","Y","N","1653","0","0","16","2","454"
"HX346081","15/7/14","CRIMINAL TRESPASS","TO STATE SUP LAND","AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA","Y","N","1653","0","0","16","2","454"
"HX347595","16/7/14","CRIMINAL TRESPASS","TO STATE SUP LAND","AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA","Y","N","1653","0","0","16","2","454"
"HX347910","16/7/14","CRIMINAL TRESPASS","TO STATE SUP LAND","AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA","Y","N","1655","28","865","16","2","454"
"HX344738","11/7/14","THEFT","OVER $500","AIRPORT TERMINAL LOWER LEVEL - SECURE AREA","N","N","1651","0","0","16","16","7169"
"HX333431","6/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1652","0","0","16","6","1709"
"HX333955","6/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1653","0","0","16","6","1709"
"HX334486","7/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1653","0","0","16","6","1709"
"HX334714","7/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1653","0","0","16","6","1709"
"HX335140","7/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1651","0","0","16","6","1709"
"HX337975","9/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1653","0","0","16","6","1709"
"HX340847","11/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1652","0","0","16","6","1709"
"HX341748","12/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1651","0","0","16","6","1709"
"HX341768","12/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1653","0","0","16","6","1709"
"HX341835","12/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1653","0","0","16","6","1709"
"HX342501","12/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1651","0","0","16","6","1709"
"HX343354","13/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1653","0","0","16","6","1709"
"HX344624","14/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1652","0","0","16","6","1709"
"HX344763","14/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1652","0","0","16","6","1709"
"HX344989","14/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1652","0","0","16","6","1709"
"HX345223","14/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1653","0","0","16","6","1709"
"HX345650","15/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1653","0","0","16","6","1709"
"HX346193","15/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1653","0","0","16","6","1709"
"HX346474","15/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1653","0","0","16","6","1709"
"HX346736","15/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1655","28","865","16","6","1709"
"HX347162","16/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1652","0","0","16","6","1709"
"HX347817","16/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1653","0","0","16","6","1709"
"HX348344","17/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1652","0","0","16","6","1709"
"HX348350","17/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1651","0","0","16","6","1709"
"HX348574","17/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1651","0","0","16","6","1709"
"HX348994","17/7/14","OTHER OFFENSE","OTHER WEAPONS VIOLATION","AIRPORT TERMINAL UPPER LEVEL - SECURE AREA","N","N","1652","0","0","16","6","1709"
